execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
160,f64c45ddf0d3cd8345d446d265e50dbe623e8a97a9eb09c07cdae3bd4464c0bb,b141653f0f4f895b06cc647fdc59bbccf68b28ad68fb212f3d5b0d837735a2c0,sequence.insert.v1,1,true,COMPLETE,
161,6ef766a221c511289e807a504d11977691779a79acf6ecd986310d6cb2797cc2,f64c45ddf0d3cd8345d446d265e50dbe623e8a97a9eb09c07cdae3bd4464c0bb,scalar.boundary.v1,0,false,COMPLETE,
162,8463ff1a9d13fd7ba044f489504eaa869b147a9028e0dab6636a03974ce0f54a,cbb7fae0f1409dcd5d88d9c49a4a53199eb548dd0335f6ffc43e3e47239561ec,scalar.boundary.v1,2,true,COMPLETE,
163,e78576a761e3b8446f7a4906677c9b8755fab7cc8f38380be9595c071b33385a,8463ff1a9d13fd7ba044f489504eaa869b147a9028e0dab6636a03974ce0f54a,sequence.swap-adjacent.v1,0,false,COMPLETE,
164,860d8f323eb6aa25704618b0ab122b231e35b59526c27c75b55f4b94d60bb72d,d9df8dcd4ca5955225e0f1174d62bb40be9e1c3acb8d0e105c886efa5f499143,sequence.swap-adjacent.v1,0,false,COMPLETE,
165,382eca5455477df6c86299f2df1feca6dd9d14c4fc04c2166c308a882865e2c1,f64c45ddf0d3cd8345d446d265e50dbe623e8a97a9eb09c07cdae3bd4464c0bb,buffer.block.v1,0,false,COMPLETE,
166,41e0fc520231c886879c62b8055277620959fc5ad20188371b5d43d48ad08976,7f1c1286a34ccd055ad5ef3044ae69c32f24b19ef4243b46cdf52635bf628c59,sequence.delete.v1,0,false,COMPLETE,
167,d24809ca3af8a1a0563afc6494d51c3976aea450a0b9ba39799c1c58ba656565,5b3ff03dda7c7e5df4b8e678247b2dfa1b19194c25ffe1a18fe851812be5fe1e,sequence.swap-adjacent.v1,0,false,COMPLETE,
168,a6ca9337e946b7a1d07808cbc6df07b51372b079f264936bc6830cbfe0516d9f,8463ff1a9d13fd7ba044f489504eaa869b147a9028e0dab6636a03974ce0f54a,scalar.boundary.v1,2,true,COMPLETE,
169,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,a6ca9337e946b7a1d07808cbc6df07b51372b079f264936bc6830cbfe0516d9f,scalar.boundary.v1,3,true,COMPLETE,
170,145652f5e934b9dec15579d6fd7a2b26f64953a0f0009e6bcc412e70c141119f,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,sequence.delete.v1,0,false,COMPLETE,
171,b0c2592e96f2fb66fcb30bed7faeb88fcc4fbced5f382f08c9a239aa2173c8e6,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,sequence.delete.v1,1,true,COMPLETE,
172,32c6066eacd426cc64869007baa4b20e2415fa566e6d55171661a38dfe25daae,b0c2592e96f2fb66fcb30bed7faeb88fcc4fbced5f382f08c9a239aa2173c8e6,scalar.boundary.v1,1,true,COMPLETE,
173,55b4d2f5b0d04652e0be4fe88efdfa48d853cdb005b4918ca80288ddd0605f10,32c6066eacd426cc64869007baa4b20e2415fa566e6d55171661a38dfe25daae,scalar.boundary.v1,0,false,COMPLETE,
174,97779590cfb0bbe42015f8631ef2a61990b45db8dff5f54da4285970deac8b21,a6ca9337e946b7a1d07808cbc6df07b51372b079f264936bc6830cbfe0516d9f,sequence.swap-adjacent.v1,1,true,COMPLETE,
175,65e2d68ff73b84c28e426405889becd5613e29f03e9dec4074f9c9cb17fa2aa2,97779590cfb0bbe42015f8631ef2a61990b45db8dff5f54da4285970deac8b21,sequence.delete.v1,1,true,COMPLETE,
176,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,65e2d68ff73b84c28e426405889becd5613e29f03e9dec4074f9c9cb17fa2aa2,scalar.boundary.v1,3,true,COMPLETE,
177,fc98d3d52c0e9ac1cb9ef141f9ed707ae7f78dabc341e712a74eaa77e9043b33,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,sequence.swap-adjacent.v1,0,false,COMPLETE,
178,ec59ae293fe58069a147fe3ed9554609974cc537674dd3c250e4d3f7812efdc6,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,sequence.swap-adjacent.v1,0,false,COMPLETE,
179,8668bced57dc90db4b5dff6380b7a8013b20be624be03ebe9405ea083b956e54,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,scalar.boundary.v1,1,true,COMPLETE,
180,2a376f93c8bc069988989a7250f994a71ca53fa394d843a2a85715a4f99ab5fa,8668bced57dc90db4b5dff6380b7a8013b20be624be03ebe9405ea083b956e54,scalar.boundary.v1,1,true,COMPLETE,
181,6bd61df1e98b58e801e4856f787e61cbe905de7e41d2b8b201d246acbae8b0ad,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,sequence.delete.v1,0,false,COMPLETE,
